"Parker O-Ring Chemical Compatibility Chart — Compatibility Tables for Gases, Fluids, Solids","","","","","","","","","","","","","","","","","","","","",""
"Source: Parker O-Ring & Engineered Seals Division, ORD 5700 O-Ring Handbook  |  2135 compounds  |  Ratings: 1=Satisfactory, 2=Fair, 3=Doubtful, 4=Unsatisfactory, X=Insufficient Data","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"Compound / Fluid","Compound Code","NBR
(Nitrile)","HNBR
(Hydrog. Nitrile)","EPDM
(Ethylene Propylene)","FKM
(Fluorocarbon)","FKM
(Hifluor)","FFKM
(Perfluoroelastomer)","FEPM
(Aflas)","CR
(Neoprene)","SBR
(Styrene-Butadiene)","ACM
(Polyacrylate)","AU/EU
(Polyurethane)","IIR
(Butyl)","BR
(Butadiene)","IR
(Isoprene)","NR
(Natural Rubber)","CSM
(Hypalon)","FVMQ
(Fluorosilicone)","MQ/VMQ/PVMQ
(Silicone)","",""
"Dihydroxydiphenylsulfone","E0540-80","3","3","1","3","2","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Diisobutyl Ketone","E0540-80","X","X","1","X","2","1","1","X","X","X","X","1","X","X","X","X","X","X","",""
"Diisobutylcarbinol","N0674-70","1","1","4","1","1","1","X","2","4","1","1","4","4","4","4","2","1","2","",""
"Diisobutylene","V1164-75","2","2","4","1","1","1","2","4","4","4","4","4","4","4","4","4","3","4","",""
"Diisooctyl Sebacate","V1164-75","3","3","3","2","1","1","2","4","4","4","4","4","4","4","4","4","3","3","",""
"Diisopropyl Ether (DIPE)","V3819-75","X","X","X","X","2","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Diisopropyl Ketone","E0540-80","4","4","1","4","2","1","2","4","4","4","4","1","4","4","4","4","4","4","",""
"Diisopropylbenzene","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Diisopropylidene Acetone","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Dimethoxyethane (DME)","—","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Dimethyl Acetamide","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","4","2","",""
"Dimethyl Ether","N0674-70","1","X","2","2","1","1","4","3","X","X","X","X","X","X","X","X","X","X","",""
"Dimethyl Formaldehyde","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Dimethyl Formamide (DMF)","E0540-80","2","2","1","4","1","1","2","3","4","4","4","2","X","X","4","4","4","2","",""
"Dimethyl Phenyl Carbinol","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Dimethyl Phenyl Methanol","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Dimethyl Phthalate","V1164-75","4","4","2","2","1","1","2","4","4","4","X","2","4","4","4","4","2","X","",""
"Dimethyl Sulfoxide (DMSO)","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Dimethyl Terephthalate (DMT)","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Dimethylamine (DMA)","E0540-80","2","2","1","4","1","1","2","2","2","4","3","2","2","2","2","3","4","2","",""
"Dimethylaniline (Xylidine)","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Dimethyldisulfide (DMDS)","N0674-70","1","1","4","1","1","1","X","2","4","1","1","4","4","4","4","2","1","2","",""
"Dimethylhydrazine","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Dinitrochlorobenzene","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Dinitrogen Tetroxide","FF500-75","X","X","X","X","2","2","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Dinitrotoluene (DNT)","Factory","4","4","4","4","1","1","4","4","4","4","4","4","4","4","4","4","4","4","",""
"Dioctyl Phthalate","V1164-75","4","4","2","2","1","1","2","4","4","4","4","2","4","4","4","4","2","3","",""
"Dioctyl Sebacate","E0540-80","4","4","2","2","1","1","2","4","4","4","2","2","4","4","4","4","3","3","",""
"Dioctylamine","N0674-70","1","1","4","1","1","1","X","2","4","1","1","4","4","4","4","2","1","2","",""
"Dioxane","E0540-80","4","4","2","4","1","1","3","4","4","4","4","2","4","4","4","4","4","4","",""
"Dioxolane","E0540-80","4","4","2","4","1","1","3","4","4","4","4","3","4","4","4","4","4","4","",""
"Dipentene","N0674-70","2","2","4","1","1","1","2","4","4","4","4","4","4","4","4","4","2","4","",""
"Diphenyl","V1164-75","4","4","4","1","1","1","2","4","4","4","4","4","4","4","4","4","2","4","",""
"Diphenyl Oxides","V1164-75","4","4","4","1","1","1","2","4","4","4","4","4","4","4","4","4","2","3","",""
"Diphenylamine (DPA)","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Diphenylene Oxide","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Diphenylpropane","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Disilane","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Dodecylbenzene","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Dow Chemical 50-4","E0540-80","X","X","1","4","3","2","2","2","1","X","X","2","X","X","X","2","4","X","",""
"Dow Chemical ET378","Factory","4","4","X","X","X","X","X","4","4","3","2","4","4","4","4","4","X","4","",""
"Dow Chemical ET588","E0540-80","3","3","1","4","3","2","2","2","1","X","X","2","X","X","X","2","4","X","",""
"Dow Corning -11","E0540-80","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","",""
"Dow Corning -1265 Fluorosilicone Fluid","E0540-80","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","3","1","",""
"Dow Corning -200","E0540-80","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","3","",""
"Dow Corning -220","N0674-70","1","1","1","1","1","1","1","1","X","X","X","X","X","X","X","X","X","X","",""
"Dow Corning -3","E0540-80","2","2","1","1","1","1","X","1","1","1","1","1","1","1","1","1","1","2","",""
"Dow Corning -33","E0540-80","2","2","1","1","1","1","X","1","1","1","1","1","1","1","1","1","2","3","",""
"Dow Corning -4","E0540-80","2","2","1","1","1","1","X","1","1","1","1","1","1","1","1","1","1","2","",""
"Dow Corning -44","E0540-80","2","2","1","1","1","1","X","1","1","1","1","1","1","1","1","1","2","3","",""
"Dow Corning -5","E0540-80","2","2","1","1","1","1","X","1","1","1","1","1","1","1","1","1","2","3","",""
"Dow Corning -510","E0540-80","2","2","1","1","1","1","X","1","1","1","1","1","1","1","1","1","2","3","",""
"Dow Corning -55","E0540-80","2","2","1","1","1","1","X","1","1","1","1","1","1","1","1","1","2","3","",""
"Dow Corning -550","E0540-80","2","2","1","1","1","1","X","1","1","1","1","1","1","1","1","1","2","3","",""
"Dow Corning -704","E0540-80","2","2","1","1","1","1","X","1","1","1","1","1","1","1","1","1","2","3","",""
"Dow Corning -705","E0540-80","2","2","1","1","1","1","X","1","1","1","1","1","1","1","1","1","2","3","",""
"Dow Corning -710","E0540-80","2","2","1","1","1","1","X","1","1","1","1","1","1","1","1","1","2","3","",""
"Dow Corning 1208, 4050, 6620, F-60, XF-60","N0674-70","1","1","1","1","1","1","1","1","X","X","X","X","X","X","X","X","X","X","",""
"Dow Corning F-61","N0674-70","1","1","1","1","1","1","1","1","X","X","X","X","X","X","X","X","X","X","",""
"Dow Guard","N0674-70","1","1","1","1","1","1","X","1","1","3","3","1","1","1","1","1","1","1","",""
"Dowanol P Mix","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Dowtherm, 209","E0540-80","3","3","1","4","1","1","X","2","X","X","X","2","X","X","X","X","3","3","",""
"Dowtherm, A","V1164-75","4","4","4","1","1","1","X","4","4","4","4","4","4","4","4","4","2","4","",""
"Dowtherm, E","V1164-75","4","4","4","1","1","1","X","4","4","4","4","4","4","4","4","4","2","4","",""
"Drinking Water","E3609-70","1","1","1","1","1","1","X","2","1","4","4","1","1","1","1","1","1","1","",""
"Dry Cleaning Fluids","V1164-75","3","3","4","1","1","1","X","4","4","4","4","4","4","4","4","4","2","4","",""
"DTE 20 Series, Mobil","V1164-75","2","2","4","1","1","1","2","1","X","2","1","4","X","X","2","2","2","4","",""
"DTE named series, Mobil, light-heavy","N0674-70","1","1","4","1","1","1","2","2","4","X","1","4","4","X","3","1","1","3","",""
"Elco 28-EP lubricant","N0674-70","1","1","4","1","1","1","X","3","4","1","1","4","4","4","4","4","1","2","",""
"Epichlorohydrin","E0540-80","4","4","2","4","1","1","X","4","4","4","4","2","4","4","4","4","4","4","",""
"Epoxy Resins","E0540-80","X","X","1","4","1","1","X","1","X","X","X","1","X","X","X","X","X","X","",""
"Erucic Acid","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Esam-6 Fluid","E0540-80","X","X","1","4","1","1","X","2","1","X","X","2","X","X","X","2","4","X","",""
"Esso Fuel 208","N0674-70","1","1","4","1","1","1","X","2","4","1","4","4","4","4","4","3","1","4","",""
"Esso Golden Gasoline","V1164-75","2","2","4","1","1","1","X","4","4","4","4","4","4","4","4","4","1","4","",""
"Esso Motor Oil","N0674-70","1","1","4","1","1","1","X","3","4","1","4","4","4","4","4","4","1","4","",""
"Esso Transmission Fluid (Type A)","N0674-70","1","1","4","1","1","1","X","2","4","1","3","4","4","4","4","4","1","4","",""
"Esso WS2812 (MIL-L-7808A)","V1164-75","1","1","4","1","1","1","X","4","4","2","4","4","4","4","4","4","1","4","",""
"Esso XP90-EP Lubricant","N0674-70","1","1","4","1","1","1","X","2","4","1","1","4","4","4","4","2","1","4","",""
"Esstic 42, 43","N0674-70","1","1","4","1","1","1","X","2","4","1","2","4","4","4","4","4","1","4","",""
"Ethane","N0674-70","1","1","4","1","1","1","X","2","4","1","3","4","4","4","4","2","3","4","",""
"Ethanol","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Ethanol Amine","E0540-80","2","2","1","4","1","1","X","2","2","4","3","2","2","2","2","3","4","2","",""
"Ethers","V3819-75","4","4","3","3","1","1","X","4","4","3","2","4","4","4","4","4","3","4","",""
"Ethoxyethyl Acetate (EGMEEA)","E0540-80","3","3","1","3","2","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Ethyl Acetate-Organic Ester","E0540-80","4","4","2","4","2","1","X","4","4","4","4","2","4","4","4","4","4","2","",""
"Ethyl Acetoacetate","E0540-80","4","4","2","4","1","1","X","4","3","4","4","2","3","3","3","4","4","2","",""
"Ethyl Acrylate","E0540-80","4","4","2","4","1","1","X","4","4","4","4","2","4","4","4","4","4","2","",""
"Ethyl Alcohol","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Ethyl Ammonium Dichloride","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Ethyl Benzene","V1164-75","4","4","4","1","1","1","X","4","4","4","4","4","4","4","4","4","1","4","",""
"Ethyl Benzoate","V1164-75","4","4","4","1","1","1","X","4","4","4","4","4","4","4","4","4","1","4","",""
"Ethyl Bromide","V1164-75","2","2","4","1","1","1","X","4","X","X","X","4","4","4","4","4","1","X","",""
"Ethyl Cellosolve","E0540-80","4","4","2","4","1","1","X","4","4","4","4","2","4","4","4","4","4","4","",""
"Ethyl Cellulose","N0674-70","2","2","2","4","1","1","X","2","2","4","2","2","2","2","2","2","4","2","",""
"Ethyl Chloride","N0674-70","1","1","3","1","1","1","X","4","4","3","2","4","2","1","4","4","1","4","",""
"Ethyl Chlorocarbonate","V1164-75","4","4","2","1","1","1","X","4","4","4","4","4","4","4","4","4","2","4","",""
"Ethyl Chloroformate","E0540-80","4","4","2","4","1","1","X","4","4","4","4","3","4","4","4","4","4","4","",""
"Ethyl Ether","Factory","3","3","3","4","1","1","X","4","4","4","2","3","4","4","4","4","3","4","",""
"Ethyl Formate","V1164-75","4","4","2","1","1","1","X","2","4","X","X","2","4","4","4","2","1","X","",""
"Ethyl Hexanol","N0674-70","1","1","1","1","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Ethyl Lactate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Ethyl Mercaptan","V1164-75","4","4","X","2","1","1","X","3","4","X","X","4","4","4","4","3","X","3","",""
"Ethyl Nitrite","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Ethyl Oxalate","E0540-80","4","4","1","2","1","1","X","4","4","4","X","4","4","1","4","4","2","4","",""
"Ethyl Pentachlorobenzene","V1164-75","4","4","4","1","1","1","X","4","4","4","4","4","4","4","4","4","2","4","",""
"Ethyl Pyridine","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Ethyl Silicate","E0540-80","1","1","1","1","1","1","X","1","2","X","X","1","2","2","2","2","1","X","",""
"Ethyl Stearate","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Ethyl Sulfate","E0540-80","X","X","1","4","1","1","1","X","X","X","X","X","X","X","X","X","X","X","",""
"Ethyl Tertiary Butyl Ether","V3819-75","X","X","X","X","2","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Ethyl Valerate","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Ethylacrylic Acid","E0540-80","4","4","2","X","X","X","X","2","4","4","4","2","4","4","4","4","4","4","",""
"Ethylamine","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Ethylcyclopentane","N0674-70","1","1","4","1","1","1","X","3","4","2","1","4","4","4","4","4","1","4","",""
"Ethylene","V1164-75","3","2","4","2","1","1","X","4","4","4","4","4","4","4","4","4","2","4","",""
"Ethylene Chloride","V1164-75","4","4","4","2","1","1","X","4","4","4","4","4","4","4","4","4","2","4","",""
"Ethylene Chlorohydrin","V1164-75","4","4","2","1","1","1","X","2","2","4","4","2","2","2","2","2","2","3","",""
"Ethylene Cyanohydrin","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Ethylene Diamine","E0540-80","1","1","1","4","2","2","X","1","2","4","4","1","2","1","1","2","4","1","",""
"Ethylene Dibromide","V1164-75","4","4","3","1","1","1","X","4","4","4","4","3","4","4","4","4","3","4","",""
"Ethylene Dichloride","V1164-75","4","4","3","1","1","1","X","4","4","4","4","3","4","4","4","4","3","4","",""
"Ethylene Glycol","E0540-80","1","1","1","1","1","1","X","1","1","4","2","1","1","1","1","1","1","1","",""
"Ethylene Hydrochloride","V1164-75","4","4","3","1","1","1","X","4","4","4","4","3","4","4","4","4","3","4","",""
"Ethylene Oxide","V8545-75","4","4","3","4","1","1","X","4","4","4","4","3","4","4","4","4","4","4","",""
"Ethylene Oxide, (12%) and Freon 12 (80%)","V3819-75","3","3","2","4","4","2","X","4","4","4","4","2","4","4","4","4","4","4","",""
"Ethylene Trichloride","V1164-75","4","4","3","1","1","1","X","4","4","4","4","3","4","4","4","4","3","4","",""
"Ethyleneimine","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Ethylmorpholene Stannous Octotate","E0540-80","4","4","2","4","1","1","X","X","4","X","X","2","X","X","X","X","X","X","",""
"Ethylmorpholine","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Ethylsulfuric Acid","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"F-60 Fluid (Dow Corning)","E0540-80","1","1","1","1","1","1","X","1","1","1","1","1","1","1","1","1","1","4","",""
"F-61 Fluid (Dow Corning)","E0540-80","1","1","1","1","1","1","X","1","1","1","1","1","1","1","1","1","1","4","",""
"Fatty Acids","V1164-75","2","2","3","1","1","1","X","2","4","X","X","3","4","4","4","2","X","3","",""
"FC-43 Heptacosofluorotri-butylamine","N0674-70","1","1","1","1","1","1","X","1","4","X","X","1","X","X","X","1","1","1","",""
"FC75 & FC77 (Fluorocarbon)","E0540-80","1","1","1","2","1","1","X","1","4","X","X","1","X","X","X","1","2","1","",""
"Ferric Acetate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Ferric Ammonium Sulfate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Ferric Chloride","N0674-70","1","1","1","1","1","1","X","2","1","1","1","1","1","1","1","2","1","2","",""
"Ferric Ferrocyanide","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Ferric Hydroxide","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Ferric Nitrate","N0674-70","1","1","1","1","1","1","X","1","1","1","1","1","1","1","1","1","1","2","",""
"Ferric Persulfate","N0674-70","1","1","1","1","1","1","1","1","X","X","X","X","X","X","X","X","X","X","",""
"Ferric Sulfate","N0674-70","1","1","1","1","1","1","1","1","X","X","X","X","X","X","X","X","X","X","",""
"Ferrous Ammonium Citrate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Ferrous Ammonium Sulfate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Ferrous Carbonate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Ferrous Chloride","N0674-70","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Ferrous Iodide","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Ferrous Sulfate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Ferrous Tartrate","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","1","2","",""
"Fish Oil","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Fisher Reagent","E0540-80","X","X","2","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Fluorinated Cyclic Ethers","V3819-75","X","X","1","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Fluorine (Gas)","V3819-75","X","X","X","X","2","2","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Fluorine (Liquid)","V1164-75","4","4","4","2","2","2","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Fluorobenzene","V1164-75","2","2","4","1","1","1","X","4","4","4","3","4","4","4","4","4","2","X","",""
"Fluoroboric Acid","N0674-70","1","X","1","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Fluorocarbon Oils","E0540-80","X","X","1","X","2","2","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Fluoroform (Trifluoromethane)","FF500-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Fluorolube","E0540-80","1","1","1","2","1","1","X","1","4","X","X","1","X","X","X","1","2","1","",""
"Fluorophosphoric Acid","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Fluorosilicic Acid","N0674-70","1","1","2","2","1","1","1","1","X","X","X","X","X","X","X","X","X","X","",""
"Fluorosulfonic Acid","V3819-75","X","X","X","X","1","1","X","X","X","X","X","X","X","X","X","X","X","X","",""
"Formaldehyde","E0540-80","3","3","2","4","1","1","X","3","3","4","4","2","2","2","2","2","4","2","",""
"Formamide","E0540-80","3","3","1","3","1","1","X","1","1","4","4","1","1","1","1","1","3","2","",""
"Formic Acid","E0540-80","X","X","1","4","1","1","3","1","X","X","X","X","X","X","X","X","X","X","",""
"Freon, 11 (Trichlorofluoromethane)","V3819-75","4","4","4","2","2","2","X","4","4","4","X","4","X","X","4","1","2","4","",""
"Freon, 112 (Tetrachlorodifluoroethane)","V1164-75","2","2","4","1","1","1","X","2","4","X","X","4","X","X","4","2","X","4","",""
"Freon, 113 (Trichlorotrifluoroethane)","C0873-70","1","1","4","2","4","3","X","1","2","X","1","4","X","X","4","1","X","4","",""
"Freon, 113 + High and Low Aniline Oil","N0674-70","1","X","X","X","4","3","4","X","X","X","X","X","X","X","X","X","X","X","",""
"Freon, 114 (Dichlorotetrafluroethane)","C0873-70","1","1","1","1","2","2","X","1","1","X","X","1","X","X","1","X","X","4","",""
"Freon, 114B2","C0873-70","2","2","4","2","2","2","X","2","4","X","X","4","X","X","4","1","X","4","",""
"Freon, 115, 116","C0873-70","1","1","1","2","2","2","X","1","1","X","X","1","X","X","1","X","X","X","",""
"Freon, 12 (Dichlorodifluroethane)","C0873-70","2","2","3","3","2","2","X","1","1","X","1","3","4","4","2","1","3","4","",""
